"model","additional_parameter_value","dimensionality","method","initial_density","CV"
"default",0,3,"prediction",2752.3,0.0073285
"default",0,3,"prediction",2835.8,0.0072926
"default",0,3,"prediction",2919.2,0.007258
"default",0,3,"prediction",3002.7,0.0072245
"default",0,3,"prediction",3086.1,0.007192
"default",0,3,"prediction",3169.6,0.0071607
"default",0,3,"prediction",3253,0.0071302
"default",0,3,"prediction",3336.4,0.0071007
"default",0,3,"prediction",3419.9,0.0070721
"default",0,3,"prediction",3503.3,0.0070442
"default",0,3,"prediction",3586.8,0.0070172
"default",0,3,"prediction",3670.2,0.0069909
"default",0,3,"prediction",3753.7,0.0069652
"default",0,3,"prediction",3837.1,0.0069403
"default",0,3,"prediction",3920.6,0.006916
"default",0,3,"prediction",4004,0.0068922
"default",0,3,"prediction",4087.4,0.0068691
"default",0,3,"prediction",4170.9,0.0068465
"default",0,3,"prediction",4254.3,0.0068244
"default",0,3,"prediction",4337.8,0.0068029
"default",0,3,"prediction",4421.2,0.0067818
"default",0,3,"prediction",4504.7,0.0067612
"default",0,3,"prediction",4588.1,0.006741
"default",0,3,"prediction",4671.6,0.0067213
"default",0,3,"prediction",4755,0.006702
"default",0,3,"prediction",4838.4,0.006683
"default",0,3,"prediction",4921.9,0.0066645
"default",0,3,"prediction",5005.3,0.0066463
"default",0,3,"prediction",5088.8,0.0066285
"default",0,3,"prediction",5172.2,0.006611
"default",0,3,"prediction",5255.7,0.0065939
"default",0,3,"prediction",5339.1,0.006577
"default",0,3,"prediction",5422.6,0.0065605
"default",0,3,"prediction",5506,0.0065443
"default",0,3,"prediction",5589.4,0.0065283
"default",0,3,"prediction",5672.9,0.0065127
"default",0,3,"prediction",5756.3,0.0064973
"default",0,3,"prediction",5839.8,0.0064821
"default",0,3,"prediction",5923.2,0.0064673
"default",0,3,"prediction",6006.7,0.0064526
"default",0,3,"prediction",6090.1,0.0064382
"default",0,3,"prediction",6173.6,0.0064241
"default",0,3,"prediction",6257,0.0064101
"default",0,3,"prediction",6340.4,0.0063964
"default",0,3,"prediction",6423.9,0.0063829
"default",0,3,"prediction",6507.3,0.0063696
"default",0,3,"prediction",6590.8,0.0063564
"default",0,3,"prediction",6674.2,0.0063435
"default",0,3,"prediction",6757.7,0.0063308
"default",0,3,"prediction",6841.1,0.0063183
"default",0,3,"prediction",6924.6,0.0063059
"default",0,3,"prediction",7008,0.0062937
"default",0,3,"prediction",7091.4,0.0062817
"default",0,3,"prediction",7174.9,0.0062698
"default",0,3,"prediction",7258.3,0.0062581
"default",0,3,"prediction",7341.8,0.0062466
"default",0,3,"prediction",7425.2,0.0062352
"default",0,3,"prediction",7508.7,0.006224
"default",0,3,"prediction",7592.1,0.0062129
"default",0,3,"prediction",7675.6,0.0062019
"default",0,3,"prediction",7759,0.0061911
"default",0,3,"prediction",7842.4,0.0061805
"default",0,3,"prediction",7925.9,0.0061699
"default",0,3,"prediction",8009.3,0.0061595
"default",0,3,"prediction",8092.8,0.0061492
"default",0,3,"prediction",8176.2,0.0061391
"default",0,3,"prediction",8259.7,0.006129
"default",0,3,"prediction",8343.1,0.0061191
"default",0,3,"prediction",8426.6,0.0061093
"default",0,3,"prediction",8510,0.0060996
"default",0,3,"prediction",8593.4,0.00609
"default",0,3,"prediction",8676.9,0.0060806
"default",0,3,"prediction",8760.3,0.0060712
"default",0,3,"prediction",8843.8,0.0060619
"default",0,3,"prediction",8927.2,0.0060528
"default",0,3,"prediction",9010.7,0.0060437
"default",0,3,"prediction",9094.1,0.0060348
"default",0,3,"prediction",9177.6,0.0060259
"default",0,3,"prediction",9261,0.0060171
"default",0,1,"simulation",1000,0.29975
"default",0,1,"simulation",2000,0.2978
"default",0,1,"simulation",3000,0.30178
"default",0,1,"simulation",4000,0.30113
"default",0,1,"simulation",5000,0.29785
"default",0,1,"simulation",6000,0.29745
"default",0,1,"simulation",7000,0.29569
"default",0,1,"simulation",8000,0.29279
"default",0,1,"simulation",9000,0.29943
"default",0,1,"simulation",10000,0.29942
"default",0,2,"simulation",961,0.083874
"default",0,2,"simulation",1936,0.081953
"default",0,2,"simulation",2916,0.081416
"default",0,2,"simulation",3969,0.079969
"default",0,2,"simulation",4900,0.079509
"default",0,2,"simulation",5929,0.078945
"default",0,2,"simulation",6889,0.078969
"default",0,2,"simulation",7921,0.078672
"default",0,2,"simulation",8836,0.0782
"default",0,2,"simulation",10000,0.079164
"default",0,3,"simulation",1000,0.0066815
"default",0,3,"simulation",1728,0.006082
"default",0,3,"simulation",2744,0.0057543
"default",0,3,"simulation",3375,0.005443
"default",0,3,"simulation",4913,0.0051646
"default",0,3,"simulation",5832,0.0050101
"default",0,3,"simulation",6859,0.0049623
"default",0,3,"simulation",8000,0.0048309
"default",0,3,"simulation",9261,0.0046171
