refuge,predator,prey density,alive,eaten,R
lo,Gp,8,0,8,9.25925925925926E-05
lo,Gp,8,1,7,8.10185185185185E-05
lo,Gp,8,0,8,9.25925925925926E-05
lo,Gp,15,5,10,0.000115740740741
lo,Gp,15,9,6,6.94444444444444E-05
lo,Gp,15,10,5,5.78703703703704E-05
lo,Gp,15,8,7,8.10185185185185E-05
lo,Gp,25,20,5,5.78703703703704E-05
lo,Gp,25,16,9,0.000104166666667
lo,Gp,25,11,14,0.000162037037037
lo,Gp,25,10,15,0.000173611111111
lo,Gp,40,26,14,0.000162037037037
lo,Gp,40,28,12,0.000138888888889
lo,Gp,40,31,9,0.000104166666667
lo,Gp,40,27,13,0.000150462962963
