Pen	BirdID	SeedDen	Habitat	FeedRate	Hx	Hc	Ht	ProVig	DurVig	SearchTime	FreqVig	Date	Time	Sex
2	RR	200	BareSoil	1.832	0.179	0.208	0.387	0.059	0.16	0.182	0.366	28/10/2008	11	M
2	RRBL	200	BareSoil	1.592	0.233	0.19	0.423	0.191	0.6	0.08	0.318	28/10/2008	11	M
3	BL	200	BareSoil	0.845	0.339	0.393	0.732	0.062	0.47	0.237	0.133	27/10/2008	14	F
3	BR	200	BareSoil	1.289	0.23	0.362	0.592	0	0	0.15	0	27/10/2008	14	M
3	RL	200	BareSoil	1.062	0.231	0.511	0.742	0	0	0.167	0	27/10/2008	14	M
3	RR	200	BareSoil	1.746	0.199	0.226	0.425	0.014	0	0.113	0	27/10/2008	14	M
3	RRBL	200	BareSoil	0.849	0.326	0.477	0.803	0.122	0.349	0.39	0.35	27/10/2008	14	M
4	BL	200	BareSoil	0.553	0.324	0.566	0.89	0.136	0.28	0.423	0.369	28/10/2008	11	F
4	BR	200	BareSoil	1.836	0.202	0.223	0.425	0.051	0.18	0.065	0.282	28/10/2008	11	M
4	RL	200	BareSoil	1.646	0.221	0.198	0.419	0.061	0.48	0.202	0.127	28/10/2008	11	F
4	RR	200	BareSoil	2.02	0.178	0.153	0.331	0.094	0.28	0.148	0.337	28/10/2008	11	F
4	RRBL	200	BareSoil	1.376	0.277	0.317	0.594	0.018	0.16	0.123	0.123	28/10/2008	11	F
1	1BL	400	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
1	1BR	400	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
1	1RL	400	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
1	1RR	400	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
1	1RRBL	400	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
2	BL	400	BareSoil	1.308	0.221	0.363	0.584	0.028	0	0.096	0	28/10/2008	12	F
2	BR	400	BareSoil	1.088	0.317	0.438	0.755	0	0	0.12	0	28/10/2008	12	F
2	RL	400	BareSoil	1.345	0.219	0.265	0.484	0.083	1.307	0.067	0.157	28/10/2008	12	M
2	RR	400	BareSoil	0.874	0.255	0.333	0.588	0.277	2.28	0.12	0.117	28/10/2008	12	M
2	RRBL	400	BareSoil	1.557	0.317	0.259	0.576	0	0	0.064	0	28/10/2008	12	M
3	BL	400	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
3	BR	400	BareSoil	1.199	0.198	0.328	0.526	0.068	0	0.184	0	28/10/2008	12	M
3	RL	400	BareSoil	0.504	0.419	0.647	1.066	0.104	0	0.748	0	28/10/2008	12	M
3	RR	400	BareSoil	1.166	0.37	0.286	0.656	0.14	0.48	0.05	0.292	28/10/2008	12	M
3	RRBL	400	BareSoil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
4	BL	400	BareSoil	1.4	0.254	0.325	0.579	0	0	0.064	0	27/10/2008	14	F
4	BR	400	BareSoil	1.93	0.188	0.16	0.348	0.1	0.293	0.164	0.341	27/10/2008	14	M
4	RL	400	BareSoil	1.032	0.212	0.374	0.586	0.108	0	0.072	0	27/10/2008	14	F
4	RR	400	BareSoil	1.822	0.233	0.173	0.406	0.054	0.18	0.104	0.192	27/10/2008	14	F
4	RRBL	400	BareSoil	1.268	0.24	0.182	0.422	0.079	0.175	0.186	0.282	27/10/2008	14	F
1	BL	5	Stubble	1.111	0.318	0.248	0.566	0	0	0.287	0	14/11/2008	10	M
1	BR	5	Stubble	0.511	0.382	0.304	0.686	0.209	0.41	0.693	0.511	14/11/2008	10	F
1	RL	5	Stubble	0.641	0.432	0.24	0.672	0.179	0.373	0.372	0.481	14/11/2008	10	F
1	RR	5	Stubble	0.638	0.476	0.2	0.676	0.215	0.675	0.46	0.319	14/11/2008	10	F
1	RRBL	5	Stubble	0.904	0.488	0.363	0.851	0.072	0.443	0.464	0.286	14/11/2008	10	M
2	BL	5	Stubble	0.353	0.563	0.855	1.418	0.292	0.828	0.41	0.353	14/10/2008	10	F
2	BR	5	Stubble	0.278	0.428	0.24	0.668	0.353	0.576	0.469	0.612	14/10/2008	10	F
2	RL	5	Stubble	0.205	0.724	0.837	1.561	0.134	0.383	0.646	0.409	14/10/2008	10	M
2	RR	5	Stubble	0.149	0.794	1.25	2.044	0.338	1.814	1.65	0.186	14/10/2008	10	M
2	RRBL	5	Stubble	0.127	0.54	0.606	1.146	0.029	0.45	1.03	0.064	14/10/2008	10	M
3	BL	5	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F
3	BR	5	Stubble	0.39	0.524	0.224	0.748	0.047	0.48	1.565	0.098	14/11/2008	9	M
3	RL	5	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
3	RR	5	Stubble	0.588	0.363	0.497	0.86	0.165	0.7	0.36	0.235	14/11/2008	9	M
3	RRBL	5	Stubble	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	M
4	BL	5	Stubble	0.658	0.568	0.27	0.838	0.07	0.32	0.697	0.219	08/11/2008	10	F
4	BR	5	Stubble	0.278	0.402	0.13	0.532	0.096	0	1.926	0.093	19/11/2008	12	M
4	RL	5	Stubble	0.429	0.47	0.285	0.755	0.114	0.267	0.983	0.429	08/11/2008	10	F
4	RR	5	Stubble	0.387	0.668	0.29	0.958	0.155	0.6	0.6	0.258	08/11/2008	10	F
4	RRBL	5	Stubble	0.769	0.44	0.168	0.608	0.108	0.187	0.313	0.577	19/11/2008	12	F
